month,country,stock_code,description,total_quantity,total_revenue,num_transactions,num_customers
2010-06,United Kingdom,22557,PLASTERS IN TIN VINTAGE PAISLEY,144,236.4,30,0
2010-06,United Kingdom,22558,CLOTHES PEGS RETROSPOT PACK 24,1119,1394.32,115,0
2010-06,United Kingdom,22559,SEASIDE FLYING DISC,168,236.94,28,0
2010-06,United Kingdom,22559,SEASIDE FRISBEE,12,15,1,0
2010-06,United Kingdom,22560,TRADITIONAL MODELLING CLAY,345,424.96,24,0
2010-06,United Kingdom,22561,WOODEN SCHOOL COLOURING SET,442,719.7,45,0
2010-06,United Kingdom,22562,MONSTERS STENCIL CRAFT,149,188.77,26,0
2010-06,United Kingdom,22563,HAPPY STENCIL CRAFT,245,296.35,30,0
2010-06,United Kingdom,22564,ALPHABET STENCIL CRAFT,321,355.65,14,0
2010-06,United Kingdom,22565,FELTCRAFT HAIRBANDS PINK AND WHITE,43,36.55,6,0
2010-06,United Kingdom,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,24,21.21,7,0
2010-06,United Kingdom,22566,"FELTCRAFT HAIRBAND S/2, PINK/PURPLE",12,10.2,1,0
2010-06,United Kingdom,22567,20 DOLLY PEGS RETROSPOT,403,463.19,22,0
2010-06,United Kingdom,22568,FELTCRAFT CUSHION OWL,62,247.98,25,0
2010-06,United Kingdom,22569,FELTCRAFT CUSHION BUTTERFLY,81,315.36,32,0
2010-06,United Kingdom,22570,FELTCRAFT CUSHION RABBIT,56,225.48,24,0
2010-06,United Kingdom,22582,PACK OF 6 SWEETIE GIFT BOXES,54,142.72,11,0
2010-06,United Kingdom,22583,PACK OF 6 HANDBAG GIFT BOXES,72,193.64,24,0
2010-06,United Kingdom,22584,PACK OF 6 PANNETONE GIFT BOXES,338,802.12,44,0
2010-06,United Kingdom,22585,PACK OF 6 BIRDY GIFT TAGS,635,800.05,52,0
2010-06,United Kingdom,22586,FELTCRAFT HAIRBAND PINK AND BLUE,126,107.91,19,0
2010-06,United Kingdom,22587,FELTCRAFT HAIRBAND RED AND BLUE,87,82.86,17,0
2010-06,United Kingdom,22587,"FELTCRAFT HAIRBAND, S/2, RED/BLUE",12,10.2,1,0
2010-06,United Kingdom,22605,WOODEN CROQUET GARDEN SET,156,1948.86,64,0
2010-06,United Kingdom,22606,WOODEN SKITTLES GARDEN SET,82,1349.9,46,0
2010-06,United Kingdom,22607,WOODEN ROUNDERS GARDEN SET,357,3100.44,110,0
2010-06,United Kingdom,22608,PENS ASSORTED FUNKY JEWELED,36,30.6,1,0
2010-06,United Kingdom,22609,PENS ASSORTED SPACEBALL,144,122.4,4,0
2010-06,United Kingdom,22610,PENS ASSORTED FUNNY FACE,1296,951.84,4,0
2010-06,United Kingdom,22611,VINTAGE UNION JACK SHOPPING BAG,109,522.75,25,0
2010-06,United Kingdom,22612,TEA COSY VINTAGE UNION JACK,78,304.11,26,0
2010-06,United Kingdom,22613,PACK OF 20 SPACEBOY NAPKINS,102,89.88,23,0
2010-06,United Kingdom,22614,PACK OF 12 SPACEBOY TISSUES,396,115.88,16,0
2010-06,United Kingdom,22615,PACK OF 12 CIRCUS PARADE TISSUES,373,110.25,16,0
2010-06,United Kingdom,22616,PACK OF 12 LONDON TISSUES,1104,325.88,40,0
2010-06,United Kingdom,22617,BAKING SET SPACEBOY DESIGN,91,486.87,39,0
2010-06,United Kingdom,22618,COOKING SET RETROSPOT,28,289.03,13,0
2010-06,United Kingdom,22619,SET OF 6 SOLDIER SKITTLES,200,755.76,31,0
2010-06,United Kingdom,22619,SET Of 6 SOLDIER SKITTLES,4,15,1,0
2010-06,United Kingdom,22620,4 TRADITIONAL SPINNING TOPS,256,333.86,35,0
2010-06,United Kingdom,22621,TRADITIONAL KNITTING NANCY,611,904.88,67,0
2010-06,United Kingdom,22622,BOX OF VINTAGE ALPHABET BLOCKS,137,1302.25,45,0
2010-06,United Kingdom,22623,BOX OF VINTAGE JIGSAW BLOCKS,126,635.84,40,0
2010-06,United Kingdom,22624,IVORY KITCHEN SCALES,109,1018.93,64,0
2010-06,United Kingdom,22625,RED KITCHEN SCALES,76,660.39,39,0
2010-06,United Kingdom,22626,BLACK KITCHEN SCALES,24,212.48,15,0
2010-06,United Kingdom,22627,MINT KITCHEN SCALES,71,671.33,37,0
2010-06,United Kingdom,22634,CHILDS BREAKFAST SET SPACEBOY,60,585.4,24,0
2010-06,United Kingdom,22635,CHILDS BREAKFAST SET DOLLY GIRL,80,771.63,29,0
2010-06,United Kingdom,22636,CHILDS BREAKFAST SET CIRCUS PARADE,120,1023.36,46,0
2010-06,United Kingdom,22637,PIGGY BANK RETROSPOT,198,507.03,37,0
2010-06,United Kingdom,22640,SET OF 4 NAPKIN CHARMS 3 KEYS,6,15.3,1,0
2010-06,United Kingdom,22644,CERAMIC CHERRY CAKE MONEY BANK,557,795.06,60,0
2010-06,United Kingdom,22645,CERAMIC HEART CAKE MONEY BANK,12,17.4,1,0
2010-06,United Kingdom,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,531,788.46,65,0
2010-06,United Kingdom,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,665,988.93,81,0
2010-06,United Kingdom,22647,CERAMIC LOVE HEART MONEY BANK,115,154.26,10,0
2010-06,United Kingdom,22649,STRAWBERRY FAIRY CAKE TEAPOT,226,1097.24,45,0
2010-06,United Kingdom,22649,STRAWBERRY CAKE TEAPOT,6,29.7,2,0
2010-06,United Kingdom,22650,CERAMIC PIRATE CHEST MONEY BANK,107,164.7,21,0
2010-06,United Kingdom,22660,DOORMAT I LOVE LONDON,6,51.88,3,0
2010-06,United Kingdom,22687,DOORMAT CHRISTMAS VILLAGE,1,7.49,1,0
2010-06,United Kingdom,22688,DOORMAT PEACE ON EARTH BLUE,1,7.49,1,0
2010-06,United Kingdom,22689,DOORMAT MERRY CHRISTMAS RED,1,7.49,1,0
2010-06,United Kingdom,22690,DOORMAT HOME SWEET HOME BLUE,70,462.84,5,0
2010-06,United Kingdom,22691,DOORMAT WELCOME SUNRISE,5,37.45,3,0
2010-06,United Kingdom,22692,DOORMAT WELCOME TO OUR HOME,3,36.35,2,0
2010-06,United Kingdom,22701,PINK DOG BOWL,9,32.47,4,0
2010-06,United Kingdom,22702,BLACK AND WHITE CAT BOWL,4,8.4,2,0
2010-06,United Kingdom,22703,PINK CAT BOWL,7,16.81,2,0
2010-06,United Kingdom,22704,WRAP RED APPLES,350,147,14,0
2010-06,United Kingdom,22705,WRAP GREEN PEARS,200,84,8,0
2010-06,United Kingdom,22706,WRAP COWBOYS,150,63,6,0
2010-06,United Kingdom,22707,WRAP MONSTER FUN,100,42,4,0
2010-06,United Kingdom,22708,WRAP DOLLY GIRL,150,63,6,0
2010-06,United Kingdom,22709,WRAP WEDDING DAY,100,42,4,0
2010-06,United Kingdom,22710,WRAP I LOVE LONDON,475,175.5,8,0
2010-06,United Kingdom,22711,WRAP CIRCUS PARADE,225,94.5,8,0
2010-06,United Kingdom,22712,CARD DOLLY GIRL,256,115.24,28,0
2010-06,United Kingdom,22713,CARD I LOVE LONDON,657,267.18,34,0
2010-06,United Kingdom,22714,CARD BIRTHDAY COWBOY,210,91.62,20,0
2010-06,United Kingdom,22715,CARD WEDDING DAY,189,78.93,14,0
2010-06,United Kingdom,22716,CARD CIRCUS PARADE,425,181.06,33,0
2010-06,United Kingdom,22717,CARD DOG AND BALL,454,173.38,16,0
2010-06,United Kingdom,22718,CARD CAT AND TREE,163,71.88,17,0
2010-06,United Kingdom,22719,GUMBALL MONOCHROME COAT RACK,65,91.33,12,0
2010-06,United Kingdom,22864,MUG AND COASTER SET RED CIRCLES,378,158.76,2,0
2010-06,United Kingdom,35001G,HAND OPEN SHAPE GOLD,21,73.73,3,0
2010-06,United Kingdom,35001W,HAND OPEN SHAPE DECO.WHITE,117,366.21,16,0
2010-06,United Kingdom,35004B,SET OF 3 BLACK FLYING DUCKS,34,173.37,5,0
2010-06,United Kingdom,35004C,SET OF 3 COLOURED  FLYING DUCKS,144,800.18,24,0
2010-06,United Kingdom,35004G,SET OF 3 GOLD FLYING DUCKS,14,84.95,3,0
2010-06,United Kingdom,35004c,SET OF 3 COLOURED  FLYING DUCKS,4,50.88,3,0
2010-06,United Kingdom,35015,JACOBS LADDER SMALL,498,29.88,9,0
2010-06,United Kingdom,35085E,IVORY ROSE LAMPSHADE,9,11.25,2,0
2010-06,United Kingdom,35095A,BLUE VICTORIAN FABRIC OVAL BOX,56,24.36,5,0
2010-06,United Kingdom,35095B,RED VICTORIAN FABRIC OVAL BOX,33,15.12,5,0
2010-06,United Kingdom,35160,BUDDHA INCENSE HOLDER ASSORTED,212,149.6,6,0
2010-06,United Kingdom,35240,ENAMEL BLUE RIM OVAL TRAY SET/2,6,50.94,5,0
2010-06,United Kingdom,35241,ENAMEL BLUE RIM BISCUIT BIN,4,30.24,4,0
2010-06,United Kingdom,35265,COLOURFUL FLOWER FRUIT BOWL,2,13.9,2,0
2010-06,United Kingdom,35271S,GOLD PRINT PAPER BAG,1,0.84,1,0
2010-06,United Kingdom,35400,WOODEN BOX ADVENT CALENDAR,12,101.4,2,0
2010-06,United Kingdom,35471A,SET OF 3 BIRD L.BLUE FEATHER,19,36.35,9,0
2010-06,United Kingdom,35471D,SET OF 3 BIRD LIGHT PINK FEATHER,13,20.03,7,0
2010-06,United Kingdom,35594,WOODEN CHRISTMAS TREE 3 HANGING,13,6.7,2,0
2010-06,United Kingdom,35600D,PINK AND WHITE CHRISTMAS TREE 180CM,12,35.4,1,0
2010-06,United Kingdom,35607A,PINK FLUFFY CHRISTMAS DECORATION,32,6.08,3,0
2010-06,United Kingdom,35637A,IVORY STRING CURTAIN WITH POLE,1,19.53,1,0
2010-06,United Kingdom,35637C,PINK STRING CURTAIN WITH POLE,1,5.95,1,0
2010-06,United Kingdom,35644,PAIR PINK/BLACK COATHANGERS,2,3.9,1,0
2010-06,United Kingdom,35645,VINTAGE BEAD PINK JEWEL BOX,6,29.72,5,0
2010-06,United Kingdom,35647,VINTAGE BEAD PINK SHADE,31,42.53,6,0
2010-06,United Kingdom,35648,VINTAGE BEAD PINK PURSE,12,35.4,1,0
2010-06,United Kingdom,35649,VINTAGE BEAD COSMETIC BAG,4,13.4,2,0
2010-06,United Kingdom,35650,VINTAGE BEAD PINK JEWEL STAND,1,4.95,1,0
2010-06,United Kingdom,35653,VINTAGE BEAD NOTEBOOK,24,73.76,7,0
2010-06,United Kingdom,35809A,ENAMEL PINK TEA CONTAINER,23,65.18,12,0
2010-06,United Kingdom,35809B,ENAMEL BLUE RIM TEA CONTAINER,2,4.2,2,0
2010-06,United Kingdom,35810A,ENAMEL PINK COFFEE CONTAINER,22,60.97,11,0
2010-06,United Kingdom,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,9,21.01,4,0
2010-06,United Kingdom,35811A,ENAMEL PINK SUGAR CONTAINER,17,50.47,10,0
2010-06,United Kingdom,35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,12,35.4,1,0
2010-06,United Kingdom,35910A,MULTICOLOUR EASTER RABBIT,3,5.85,1,0
2010-06,United Kingdom,35915C,PEACH KNITTED HEN,2,6.72,1,0
2010-06,United Kingdom,35916A,YELLOW FELT HANGING HEART W FLOWER,2,3.32,2,0
2010-06,United Kingdom,35916B,BLUE FELT HANGING HEART W FLOWER,1,1.66,1,0
2010-06,United Kingdom,35921,EASTER BUNNY HANGING GARLAND,1,1.25,1,0
2010-06,United Kingdom,35922,EASTER BUNNY WREATH,1,10.17,1,0
2010-06,United Kingdom,35923,CANDY HEART HANGING DECORATION,22,31.28,7,0
2010-06,United Kingdom,35924,HANGING FAIRY CAKE DECORATION,18,50.46,6,0
2010-06,United Kingdom,35951,FOLKART BAUBLE CHRISTMAS DECORATION,144,54.72,3,0
2010-06,United Kingdom,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,192,36.48,2,0
2010-06,United Kingdom,35961,FOLKART ZINC HEART CHRISTMAS DEC,112,155.95,22,0
2010-06,United Kingdom,35962,12 ASS ZINC CHRISTMAS DECORATIONS,49,105.01,2,0
2010-06,United Kingdom,35963,FOLKART ZINC CLIP ON ANGEL WINGS,4,1.52,1,0
2010-06,United Kingdom,35965,FOLKART HEART NAPKIN RINGS,10,38.38,5,0
2010-06,United Kingdom,35967,FOLK ART METAL STAR T-LIGHT HOLDER,12,4.56,1,0
2010-06,United Kingdom,35968,FOLK ART METAL HEART T-LIGHT HOLDER,41,18.14,7,0
2010-06,United Kingdom,35969,FOLKART CROWN TABLE DECORATIONS,54,38.4,3,0
2010-06,United Kingdom,35970,ZINC FOLKART SLEIGH BELLS,4,6.76,2,0
2010-06,United Kingdom,35971,ROSE FOLKART HEART DECORATIONS,33,52.59,8,0
2010-06,United Kingdom,35972,DAISY FOLKART HEART DECORATION,24,30,1,0
2010-06,United Kingdom,35980C,REDWHITE STRIPE SCANDINAVIAN HEART,34,12.92,3,0
2010-06,United Kingdom,37327,ASSTD MULTICOLOUR CIRCLES MUG,6,10.14,1,0
2010-06,United Kingdom,37340,MULTICOLOUR SPRING FLOWER MUG,35,52.61,7,0
2010-06,United Kingdom,37342,SPOTTY COFFEE CUP & SAUCER,4,11.8,1,0
2010-06,United Kingdom,37343,SPOTS DESIGN MUG W PINK INSIDE,63,107.37,11,0
2010-06,United Kingdom,37351,ORANGE FLOWER MUG,6,7.5,1,0
2010-06,United Kingdom,37370,RETRO COFFEE MUGS ASSORTED,432,603.12,25,0
2010-06,United Kingdom,37423,WHITE WITH BLACK CATS PLATE,8,8.42,2,0
2010-06,United Kingdom,37424,WHITE WITH BLACK CATS MUG,107,73.22,6,0
2010-06,United Kingdom,37441,ASSORTED WHITE EMBOSSED CHINA MUGS,229,446.52,9,0
2010-06,United Kingdom,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,5.91,1,0
2010-06,United Kingdom,37444B,BLUE BREAKFAST CUP AND SAUCER,4,11.8,1,0
2010-06,United Kingdom,37444C,PINK BREAKFAST CUP AND SAUCER,5,17.71,2,0
2010-06,United Kingdom,37446,MINI CAKE STAND WITH HANGING CAKES,261,385.32,38,0
2010-06,United Kingdom,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,90,149.06,15,0
2010-06,United Kingdom,37448,CERAMIC CAKE DESIGN SPOTTED MUG,218,335.74,30,0
2010-06,United Kingdom,37449,CERAMIC CAKE STAND + HANGING CAKES,259,2405.97,47,0
2010-06,United Kingdom,37450,CERAMIC CAKE BOWL + HANGING CAKES,125,345.87,17,0
2010-06,United Kingdom,37461,FUNKY MONKEY MUG,26,36.28,8,0
2010-06,United Kingdom,37462B,"PET MUG, BUDGIE",5,2.94,4,0
2010-06,United Kingdom,37462E,"PET MUG, GOLDFISH",25,10.92,2,0
2010-06,United Kingdom,37464,ROBOT MUG IN DISPLAY BOX,6,11.28,3,0
2010-06,United Kingdom,37467,PIG MUG IN TWO COLOUR DESIGNS,2,8.42,2,0
2010-06,United Kingdom,37471,MULTICOLOUR DOTS PLATE,1,6.77,1,0
2010-06,United Kingdom,37474,SET/4 2 TONE EGG SHAPE MIXING BOWLS,3,29.85,3,0
2010-06,United Kingdom,37475,SET/4 COLOURFUL MIXING BOWLS,1,9.95,1,0
2010-06,United Kingdom,37476,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,6,68.43,5,0
2010-06,United Kingdom,37479B,CUBIC MUG FLOCK BLUE ON BROWN,325,261.75,2,0
2010-06,United Kingdom,37479P,CUBIC MUG FLOCK PINK ON BROWN,1,2.55,1,0
2010-06,United Kingdom,37481,CUBIC MUG TEATIME CAKES,6,15.3,1,0
2010-06,United Kingdom,37482P,CUBIC MUG PINK POLKA DOT,9,22.95,2,0
2010-06,United Kingdom,37483,ENGLISH ROSE MUG IN GIFT BOX,132,204.84,5,0
2010-06,United Kingdom,37491D,PURPLE/BLUE CERAMIC CANDLE HOLDER,8,13.2,1,0
2010-06,United Kingdom,37492B,BLUE YELLOW FLOWER PIGGY BANK,22,66.3,5,0
2010-06,United Kingdom,37495,FAIRY CAKE BIRTHDAY CANDLE SET,41,153.75,17,0
2010-06,United Kingdom,37500,TEA TIME TEAPOT IN GIFT BOX,133,814.79,11,0
2010-06,United Kingdom,37501,TEA TIME TEA SET IN GIFT BOX,6,49.18,5,0
2010-06,United Kingdom,37502,TEA TIME MUG IN GIFT BOX,44,135.72,18,0
2010-06,United Kingdom,37503,TEA TIME CAKE STAND IN GIFT BOX,349,3442.59,76,0
2010-06,United Kingdom,37506,NEW ENGLAND MILK JUG W GIFT BOX,4,23.8,4,0
2010-06,United Kingdom,37508,NEW ENGLAND CERAMIC CAKE SERVER,5,12.75,4,0
2010-06,United Kingdom,37509,NEW ENGLAND MUG W GIFT BOX,7,17.85,4,0
2010-06,United Kingdom,40001,WHITE BAMBOO RIBS LAMPSHADE,157,104.02,3,0
2010-06,United Kingdom,40003,WHITE BAMBOO RIBS LAMPSHADE,48,60,3,0
2010-06,United Kingdom,40016,CHINESE DRAGON PAPER LANTERNS,774,308.43,20,0
2010-06,United Kingdom,40018F,CHERRY DESIGN PAPERLANTERNS,209,402.57,31,0
2010-06,United Kingdom,40046A,RED DAISY PAPER LAMPSHADE,27,37.53,8,0
2010-06,United Kingdom,44091C,MULTICOLOUR CRUSOE CHECK LAMPSHADE,4,1.68,1,0
2010-06,United Kingdom,44230,SQUARE MIRROR CURTAIN,59,411.81,10,0
2010-06,United Kingdom,44234,ASSORTED CIRCULAR MOBILE,23,4.83,3,0
2010-06,United Kingdom,44235,ASS COL CIRCLE MOBILE,26,10.92,2,0
2010-06,United Kingdom,44236,PINK/PURPLE CIRCLE CURTAIN,4,18.6,2,0
2010-06,United Kingdom,44265,M/COLOUR POM-POM CURTAIN,3,12.75,1,0
2010-06,United Kingdom,45008C,DECORATIVE NET CANOPY CREAM,10,116.14,7,0
2010-06,United Kingdom,45016,DECORATIVE NET CANOPY LEOPARD,2,11.37,2,0
2010-06,United Kingdom,46000M,POLYESTER FILLER PAD 45x45cm,151,234.05,23,0
2010-06,United Kingdom,46000P,POLYESTER FILLER PAD 65CMx65CM,11,46.75,4,0
2010-06,United Kingdom,46000R,POLYESTER FILLER PAD 45x30cm,24,34.8,1,0
2010-06,United Kingdom,46000S,POLYESTER FILLER PAD 40x40cm,162,234.9,16,0
2010-06,United Kingdom,46000U,POLYESTER FILLER PAD 30CMx30CM,14,17.5,2,0
2010-06,United Kingdom,46115B,GREEN POP ART MAO CUSHION COVER,56,10.64,3,0
2010-06,United Kingdom,46118,FUNKY MONKEY CUSHION COVER,21,25.47,4,0
2010-06,United Kingdom,46126A,ELVIS WALLHANGING / CURTAIN,28,46.34,10,0
2010-06,United Kingdom,46138B,BLUE CHENILLE SHAGGY CUSHION COVER,4,12.62,2,0
2010-06,United Kingdom,46307,ROSES BLUE BASE CUSHION COVER,14,65.7,8,0
2010-06,United Kingdom,46775D,SUNSET COLOUR CHUNKY KNITTED THROW,3,44.92,2,0
2010-06,United Kingdom,46776A,WOVEN BUBBLE GUM CUSHION COVER,4,16.84,3,0
2010-06,United Kingdom,46776B,WOVEN BERRIES CUSHION COVER,2,8.42,2,0
2010-06,United Kingdom,46776C,WOVEN FROST CUSHION COVER,4,17.58,3,0
2010-06,United Kingdom,46776D,WOVEN SUNSET CUSHION COVER,2,8.42,2,0
2010-06,United Kingdom,46776E,WOVEN CANDY CUSHION COVER,3,12.63,3,0
2010-06,United Kingdom,46776F,WOVEN ROSE GARDEN CUSHION COVER,3,12.63,2,0
2010-06,United Kingdom,47013A,WINE BOTTLE DRESSING LT.BLUE,15,4.35,2,0
2010-06,United Kingdom,47013C,WINE BOTTLE DRESSING DARK BLUE,15,4.35,2,0
2010-06,United Kingdom,47021G,SET/6 BEAD COASTERS GAUZE BAG GOLD,4,16.43,3,0
2010-06,United Kingdom,47310M,"SMALL POP BOX,FUNKY MONKEY",68,88.06,9,0
2010-06,United Kingdom,47343A,FUSCHIA FLOWER PURSE WITH BEADS,3,4.47,1,0
2010-06,United Kingdom,47367B,PAIR PADDED HANGERS PINK CHECK,11,39.3,5,0
2010-06,United Kingdom,47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,4,11.8,2,0
2010-06,United Kingdom,47420,ASSORTED COLOUR SUCTION CUP HOOK,11,2.09,2,0
2010-06,United Kingdom,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,47,19.74,3,0
2010-06,United Kingdom,47422,ASSORTED MONKEY SUCTION CUP HOOK,26,10.92,2,0
2010-06,United Kingdom,47469,ASSORTED SHAPES PHOTO CLIP SILVER,24,15.6,1,0
2010-06,United Kingdom,47471,RAINBOW PEGS PHOTO CLIP STRING,14,9.94,4,0
2010-06,United Kingdom,47480,HANGING PHOTO CLIP ROPE LADDER,48,79.2,3,0
2010-06,United Kingdom,47481,50CM METAL STRING WITH  7 CLIPS,3,2.55,2,0
2010-06,United Kingdom,47502,POLKADOT CUTLERY 24 PCS IN TRAY,26,288.24,7,0
2010-06,United Kingdom,47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,16,20,5,0
2010-06,United Kingdom,47503E,ASS FLORAL PRINT SCISSORS,1,1.25,1,0
2010-06,United Kingdom,47503H,ASS FLORAL PRINT SPIRIT LEVEL,3,12.63,2,0
2010-06,United Kingdom,47503J,SET/3 FLORAL GARDEN TOOLS IN BAG,20,265.34,12,0
2010-06,United Kingdom,47503K,ASSORTED FLORAL SECATEURS,6,11.7,4,0
2010-06,United Kingdom,47504E,ENGLISH ROSE SCISSORS,26,38.42,3,0
2010-06,United Kingdom,47504H,ENGLISH ROSE SPIRIT LEVEL,13,31.02,2,0
2010-06,United Kingdom,47504K,ENGLISH ROSE GARDEN SECATEURS,25,74.83,10,0
2010-06,United Kingdom,47505,MINATURE COLOURED GARDENING SET,9,38.75,4,0
2010-06,United Kingdom,47552A,DOTS IRONING BOARD COVER,2,3.9,2,0
2010-06,United Kingdom,47556B,TEA TIME TEA TOWELS,394,1115.9,44,0
2010-06,United Kingdom,47556b,TEA TIME TEA TOWELS,1,5.91,1,0
2010-06,United Kingdom,47559B,TEA TIME OVEN GLOVE,214,261.14,30,0
2010-06,United Kingdom,47559b,TEA TIME OVEN GLOVE,1,2.51,1,0
2010-06,United Kingdom,47563A,RETRO LONGBOARD IRONING BOARD COVER,1,3.75,1,0
2010-06,United Kingdom,47563B,WAVELINE SURF IRONING BOARD COVER,1,3.75,1,0
2010-06,United Kingdom,47566,PARTY BUNTING,1251,6139.49,113,0
2010-06,United Kingdom,47566B,TEA TIME PARTY BUNTING,235,901.95,8,0
2010-06,United Kingdom,47566b,TEA TIME PARTY BUNTING,1,8.47,1,0
2010-06,United Kingdom,47567B,TEA TIME KITCHEN APRON,97,531.43,16,0
2010-06,United Kingdom,47568,ENGLISH ROSE DESIGN PEG BAG,343,739.89,66,0
2010-06,United Kingdom,47570B,TEA TIME TABLE CLOTH,118,1184.42,26,0
2010-06,United Kingdom,47570b,TEA TIME TABLE CLOTH,1,21.23,1,0
2010-06,United Kingdom,47574A,ENGLISH ROSE SCENTED HANGING FLOWER,6,29.72,4,0
2010-06,United Kingdom,47574B,ENGLISH ROSE SCENTED HANGING HEART,13,55.25,7,0
2010-06,United Kingdom,47578A,ENGLISH ROSE SMALL SCENTED FLOWER,5,4.25,2,0
2010-06,United Kingdom,47579,TEA TIME BREAKFAST BASKET,33,69.3,8,0
2010-06,United Kingdom,47580,TEA TIME DES TEA COSY,27,78.89,12,0
2010-06,United Kingdom,47585A,PINK FAIRY CAKE CUSHION COVER,10,37.5,4,0
2010-06,United Kingdom,47586A,PINK FAIRY CAKE CUSHION COVER,2,5.1,1,0
2010-06,United Kingdom,47589,CONGRATULATIONS BUNTING,30,163.5,16,0
2010-06,United Kingdom,47590A,BLUE HAPPY BIRTHDAY BUNTING,250,1162.5,2,0
2010-06,United Kingdom,47590B,PINK HAPPY BIRTHDAY BUNTING,546,2751.4,64,0
2010-06,United Kingdom,47591A,CAROUSEL DES CHILD'S APRON,34,56.38,19,0
2010-06,United Kingdom,47591B,SCOTTIES DES CHILD'S APRON,44,72.92,23,0
2010-06,United Kingdom,47591C,BLUE FAIRY CAKE CHILD'S APRON,107,193.65,20,0
2010-06,United Kingdom,47591D,PINK FAIRY CAKE CHILD'S APRON,397,730.51,54,0
2010-06,United Kingdom,47591c,BLUE FAIRY CAKE CHILD'S APRON,2,8.42,2,0
2010-06,United Kingdom,47592A,CAROUSEL DES CHILD'S OVERALL,33,58.3,17,0
2010-06,United Kingdom,47592B,SCOTTIES DESIGN CHILD'S OVERALL,5,10.5,3,0
2010-06,United Kingdom,47593A,CAROUSEL DESIGN BABY BIB,34,28.9,14,0
2010-06,United Kingdom,47593B,SCOTTIES DESIGN BABY BIB,48,42,19,0
2010-06,United Kingdom,47594A,CAROUSEL DESIGN WASHBAG,18,35.1,4,0
2010-06,United Kingdom,47594B,SCOTTIES DESIGN WASHBAG,24,51.32,7,0
2010-06,United Kingdom,47597,NEW ENGLAND TEATOWELS,98,188.49,30,0
2010-06,United Kingdom,47598,NEW ENGLAND EGG WARMER,5,6.4,1,0
2010-06,United Kingdom,47599A,PINK PARTY BAGS,521,949.78,23,0
2010-06,United Kingdom,47599B,BLUE PARTY BAGS,220,421,18,0
2010-06,United Kingdom,48103,DOOR MAT KISS MY.......,3,22.47,2,0
2010-06,United Kingdom,48111,DOOR MAT 3 SMILEY CATS,124,885.44,35,0
2010-06,United Kingdom,48111,DOORMAT 3 SMILEY CATS,4,29.96,3,0
2010-06,United Kingdom,48116,DOOR MAT MULTICOLOUR STRIPE,94,685.26,31,0
2010-06,United Kingdom,48129,DOOR MAT TOPIARY,56,408.24,20,0
2010-06,United Kingdom,48129,DOORMAT TOPIARY,3,29.41,2,0
2010-06,United Kingdom,48138,DOOR MAT UNION FLAG,507,3492.97,107,0
2010-06,United Kingdom,48138,DOORMAT UNION FLAG,9,74.35,6,0
2010-06,United Kingdom,48173C,DOOR MAT BLACK FLOCK,71,519.63,28,0
2010-06,United Kingdom,48173C,DOORMAT BLACK FLOCK,12,96.82,5,0
2010-06,United Kingdom,48173c,DOOR MAT BLACK FLOCK,9,122.13,7,0
2010-06,United Kingdom,48184,DOOR MAT ENGLISH ROSE,163,1167.87,48,0
2010-06,United Kingdom,48184,DOORMAT ENGLISH ROSE,1,7.49,1,0
2010-06,United Kingdom,48185,DOOR MAT FAIRY CAKE,185,1327.05,56,0
2010-06,United Kingdom,48185,DOORMAT FAIRY CAKE,15,128.71,5,0
2010-06,United Kingdom,48187,DOOR MAT NEW ENGLAND,242,1689.56,73,0
2010-06,United Kingdom,48187,DOORMAT NEW ENGLAND,12,85.42,3,0
2010-06,United Kingdom,48188,DOOR MAT WELCOME PUPPIES,54,411.3,28,0
2010-06,United Kingdom,48188,DOORMAT WELCOME PUPPIES,2,14.98,2,0
2010-06,United Kingdom,48189,DOOR MAT FRIENDSHIP,43,335.85,20,0
2010-06,United Kingdom,48189,DOORMAT FRIENDSHIP,2,14.98,1,0
2010-06,United Kingdom,48194,DOOR MAT HEARTS,214,1530.1,69,0
2010-06,United Kingdom,48195,DOOR MAT GREEN PAISLEY,1,7.49,1,0
2010-06,United Kingdom,48197,DOOR MAT BIRD ON THE WIRE,74,625.14,36,0
2010-06,United Kingdom,51008,AFGHAN SLIPPER SOCK PAIR,100,345,2,0
2010-06,United Kingdom,51014A,"FEATHER PEN,HOT PINK",143,128.03,15,0
2010-06,United Kingdom,51014C,"FEATHER PEN,COAL BLACK",77,69.5,8,0
2010-06,United Kingdom,51014L,"FEATHER PEN,LIGHT PINK",76,67.84,8,0
2010-06,United Kingdom,51020A,SUMMER FUN DESIGN SHOWER CAP,100,32.84,5,0
