begin_date,state,cz_name,event_type,magnitude,magnitude_type,injuries,deaths,property_damage,crop_damage,tor_f_scale
2024-01-12,NEW YORK,NORTHERN WARREN,Winter Weather,0,,0,0,0,0,
2024-01-12,NEW YORK,SOUTHERN WASHINGTON,High Wind,50,EG,0,0,0,0,
2024-01-12,NEW YORK,NORTHERN WASHINGTON,High Wind,50,EG,0,0,0,0,
2024-01-12,VERMONT,BENNINGTON,High Wind,50,EG,0,0,0,0,
2024-01-14,VERMONT,BENNINGTON,Winter Weather,0,,0,0,0,0,
2024-01-14,VERMONT,BENNINGTON,Winter Weather,0,,0,0,0,0,
2024-01-14,VERMONT,WESTERN WINDHAM,Winter Weather,0,,0,0,0,0,
2024-01-15,NEW YORK,EASTERN COLUMBIA,Winter Weather,0,,0,0,0,0,
2024-01-15,NEW YORK,WESTERN COLUMBIA,Winter Weather,0,,0,0,0,0,
2024-01-15,NEW YORK,EASTERN DUTCHESS,Winter Weather,0,,0,0,0,0,
2024-01-15,NEW YORK,WESTERN DUTCHESS,Winter Weather,0,,0,0,0,0,
2024-01-15,NEW YORK,WESTERN GREENE,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,NORTHERN SARATOGA,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,NORTHERN WARREN,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,NORTHERN WASHINGTON,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,SCHOHARIE,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,WESTERN SCHENECTADY,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,SOUTHEAST WARREN,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,SOUTHERN WASHINGTON,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,NORTHERN HERKIMER,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,SOUTHERN HERKIMER,Winter Weather,0,,0,0,0,0,
2024-01-16,NEW YORK,HAMILTON,Winter Weather,0,,0,0,0,0,
2024-01-14,NEW YORK,SOUTHERN HERKIMER,Winter Weather,0,,0,0,0,0,
2024-01-14,NEW YORK,SOUTHERN FULTON,Winter Weather,0,,0,0,0,0,
2024-01-14,NEW YORK,SCHOHARIE,Winter Weather,0,,0,0,0,0,
2024-01-14,NEW YORK,WESTERN ULSTER,Winter Weather,0,,0,0,0,0,
2024-01-14,NEW YORK,MONTGOMERY,Winter Weather,0,,0,0,0,0,
2024-01-12,KENTUCKY,LAWRENCE,Strong Wind,35,EG,0,0,3000,0,
2024-01-08,LOUISIANA,CALCASIEU,Flash Flood,0,,0,0,0,0,
2024-01-08,LOUISIANA,CALCASIEU,Hail,2,,0,0,0,0,
2024-01-08,LOUISIANA,CALCASIEU,Hail,1,,0,0,0,0,
2024-01-08,LOUISIANA,BEAUREGARD,Thunderstorm Wind,50,EG,0,0,2000,0,
2024-01-08,LOUISIANA,CAMERON,Thunderstorm Wind,50,EG,0,0,3000,0,
2024-01-08,IOWA,PALO ALTO,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,KOSSUTH,Winter Storm,0,,0,0,0,0,
2024-01-12,NEBRASKA,DODGE,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-01-12,NEBRASKA,WAYNE,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-01-12,NORTH DAKOTA,DIVIDE,Cold/Wind Chill,0,,0,0,0,0,
2024-01-12,NORTH DAKOTA,BURKE,Cold/Wind Chill,0,,0,0,0,0,
2024-01-19,WEST VIRGINIA,DODDRIDGE,Heavy Snow,0,,0,0,0,0,
2024-01-19,WEST VIRGINIA,GILMER,Heavy Snow,0,,0,0,0,0,
2024-01-19,WEST VIRGINIA,WOOD,Heavy Snow,0,,0,0,0,0,
2024-01-19,WEST VIRGINIA,WYOMING,Heavy Snow,0,,0,0,0,0,
2024-01-19,OHIO,ATHENS,Winter Weather,0,,0,0,0,0,
2024-01-12,SOUTH DAKOTA,LYMAN,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,SOUTH DAKOTA,CODINGTON,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-08-27,MICHIGAN,OAKLAND,Thunderstorm Wind,55,EG,0,0,0,0,
2024-08-27,MICHIGAN,OAKLAND,Thunderstorm Wind,55,EG,0,0,0,0,
2024-01-14,TEXAS,EASTLAND,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-08-28,MICHIGAN,WAYNE,Thunderstorm Wind,56,EG,1,0,0,0,
2024-08-27,LAKE HURON,INNER SAGINAW BAY SW OF POINT AU GRES TO BAY PORT MI,Marine Thunderstorm Wind,41,MG,0,0,0,0,
2024-08-27,LAKE HURON,INNER SAGINAW BAY SW OF POINT AU GRES TO BAY PORT MI,Marine Thunderstorm Wind,40,MG,0,0,0,0,
2024-08-27,LAKE HURON,OUTER SAGINAW BAY SW OF ALABASTER TO PORT AUSTIN MI TO INNER SAGINAW BAY,Marine Thunderstorm Wind,37,MG,0,0,0,0,
2024-08-27,LAKE HURON,OUTER SAGINAW BAY SW OF ALABASTER TO PORT AUSTIN MI TO INNER SAGINAW BAY,Marine Thunderstorm Wind,40,MG,0,0,0,0,
2024-08-27,LAKE HURON,PORT AUSTIN TO HARBOR BEACH MI,Marine Thunderstorm Wind,42,MG,0,0,0,0,
2024-08-18,FLORIDA,JACKSON,Thunderstorm Wind,55,EG,0,0,0,0,
2024-08-18,FLORIDA,JACKSON,Thunderstorm Wind,55,EG,0,0,0,0,
2024-08-18,FLORIDA,JACKSON,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-18,FLORIDA,JACKSON,Thunderstorm Wind,65,EG,0,0,25000,0,
2024-08-18,FLORIDA,CALHOUN,Thunderstorm Wind,50,EG,0,0,5000,0,
2024-08-18,FLORIDA,GADSDEN,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-19,FLORIDA,HOLMES,Thunderstorm Wind,50,EG,0,0,5000,0,
2024-08-19,FLORIDA,WALTON,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-18,GEORGIA,RANDOLPH,Thunderstorm Wind,50,EG,0,0,2000,0,
2024-08-19,FLORIDA,WALTON,Thunderstorm Wind,50,EG,0,0,2000,0,
2024-08-19,FLORIDA,WALTON,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-19,FLORIDA,JACKSON,Thunderstorm Wind,50,EG,0,0,2000,0,
2024-08-18,GEORGIA,RANDOLPH,Thunderstorm Wind,55,EG,0,0,0,0,
2024-08-18,GEORGIA,WORTH,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-18,GEORGIA,MITCHELL,Thunderstorm Wind,55,EG,0,0,0,0,
2024-08-18,GEORGIA,THOMAS,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-28,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,43,MG,0,0,0,0,
2024-08-18,GEORGIA,THOMAS,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-18,GEORGIA,GRADY,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-18,GEORGIA,GRADY,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-19,GEORGIA,GRADY,Thunderstorm Wind,50,EG,0,0,0,0,
2024-08-28,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,38,MG,0,0,0,0,
2024-08-28,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,36,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,APALACHEE BAY OR COASTAL WATERS FROM KEATON BEACH TO OCHLOCKONEE RIVER FL OUT TO 20 NM,Marine Thunderstorm Wind,36,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,APALACHEE BAY OR COASTAL WATERS FROM KEATON BEACH TO OCHLOCKONEE RIVER FL OUT TO 20 NM,Marine Thunderstorm Wind,41,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,34,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,35,MG,0,0,0,0,
2024-08-02,CALIFORNIA,MONO,High Wind,50,MG,0,0,0,0,
2024-08-03,CALIFORNIA,PLACER,Heavy Rain,0,,0,0,0,0,
2024-08-24,CALIFORNIA,ALPINE,Heavy Rain,0,,0,0,0,0,
2024-08-03,NEVADA,WASHOE,Heavy Rain,0,,0,0,0,0,
2024-08-24,CALIFORNIA,MONO,Heavy Rain,0,,0,0,0,0,
2024-08-24,CALIFORNIA,PLACER,Heavy Rain,0,,0,0,0,0,
2024-01-17,NEW YORK,JEFFERSON,Lake-Effect Snow,0,,0,0,0,0,
2024-01-16,NEW YORK,LEWIS,Lake-Effect Snow,0,,0,0,0,0,
2024-01-26,NEW YORK,ERIE,Flood,0,,0,0,0,0,
2024-01-26,NEW YORK,NIAGARA,Flood,0,,0,0,0,0,
2024-01-12,WISCONSIN,MONROE,Winter Storm,0,,0,0,0,0,
2024-01-12,WISCONSIN,RICHLAND,Winter Storm,0,,0,0,0,0,
2024-01-15,IOWA,MITCHELL,Cold/Wind Chill,0,,0,0,0,0,
2024-01-15,IOWA,WINNESHIEK,Cold/Wind Chill,0,,0,0,0,0,
2024-01-15,IOWA,CLAYTON,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-01-15,WEST VIRGINIA,PUTNAM,Heavy Snow,0,,0,0,0,0,
2024-01-15,WEST VIRGINIA,RITCHIE,Winter Weather,0,,0,0,0,0,
2024-01-09,MAINE,SOUTHERN OXFORD,Winter Storm,0,,0,0,0,0,
2024-01-09,NEW HAMPSHIRE,SOUTHERN CARROLL,Winter Storm,0,,0,0,0,0,
2024-01-25,OHIO,ATHENS,Flood,0,,0,0,0,0,
2024-01-13,ARKANSAS,MILLER,Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,ARKANSAS,NEVADA,Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,ARKANSAS,SEVIER,Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,OKLAHOMA,MCCURTAIN,Cold/Wind Chill,0,,0,0,0,0,
2024-01-15,TEXAS,INLAND SAN PATRICIO COUNTY,Ice Storm,0,,0,0,0,0,
2024-01-15,TEXAS,VICTORIA,Ice Storm,0,,0,0,0,0,
2024-01-14,INDIANA,DAVIESS,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-01-14,INDIANA,DELAWARE,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-01-23,TEXAS,GONZALES,Flash Flood,0,,0,0,0,0,
2024-01-24,TEXAS,FRIO,Hail,0.88,,0,0,0,0,
2024-01-24,TEXAS,ATASCOSA,Hail,1.25,,0,0,0,0,
2024-01-24,TEXAS,ATASCOSA,Hail,2,,0,0,0,0,
2024-01-24,TEXAS,ATASCOSA,Hail,1.5,,0,0,0,0,
2024-01-21,MISSOURI,NEWTON,Winter Weather,0,,0,0,0,0,
2024-01-22,MISSOURI,OREGON,Winter Weather,0,,0,0,0,0,
2024-01-22,MISSOURI,PHELPS,Winter Weather,0,,0,0,0,0,
2024-01-21,MISSOURI,POLK,Winter Weather,0,,0,0,0,0,
2024-01-14,ARKANSAS,LITTLE RIVER,Winter Weather,0,,0,0,0,0,
2024-01-14,ARKANSAS,SEVIER,Winter Weather,0,,0,0,0,0,
2024-01-31,CALIFORNIA,MT SHASTA/WESTERN PLUMAS COUNTY,Heavy Snow,0,,0,0,0,0,
2024-01-14,LOUISIANA,CADDO,Winter Storm,0,,0,0,0,0,
2024-07-02,ARIZONA,PIMA,Tornado,0,,0,0,50000,0,EF1
2024-07-18,ARIZONA,PIMA,Thunderstorm Wind,54,MG,0,0,0,0,
2024-07-18,ARIZONA,PIMA,Thunderstorm Wind,55,EG,0,0,50000,0,
2024-07-21,ARIZONA,PIMA,Thunderstorm Wind,55,EG,0,0,10000,0,
2024-07-21,ARIZONA,PIMA,Thunderstorm Wind,50,EG,0,0,5000,0,
2024-01-09,VIRGINIA,ACCOMACK,High Wind,50,EG,0,0,3000,0,
2024-01-09,FLORIDA,WALTON,Tornado,0,,0,0,100000,0,EF1
2024-08-15,ALASKA,KUSKOKWIM DELTA,Coastal Flood,0,,0,0,0,0,
2024-08-29,ALASKA,WRN P.W. SND & KENAI MTNS,Funnel Cloud,0,,0,0,0,0,
2024-01-14,TEXAS,BEXAR,Winter Weather,0,,0,0,0,0,
2024-01-14,TEXAS,BURNET,Winter Weather,0,,0,0,0,0,
2024-01-14,TEXAS,BASTROP,Winter Weather,0,,0,0,0,0,
2024-01-06,PENNSYLVANIA,CARBON,Winter Storm,0,,0,0,0,0,
2024-01-06,PENNSYLVANIA,MONROE,Winter Storm,0,,0,0,0,0,
2024-01-23,TEXAS,HARRISON,Flash Flood,0,,0,0,0,0,
2024-01-23,TEXAS,HARRISON,Flash Flood,0,,0,0,0,0,
2024-01-13,TEXAS,ARCHER,Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,TEXAS,BAYLOR,Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,TEXAS,CLAY,Cold/Wind Chill,0,,0,0,0,0,
2024-02-27,ILLINOIS,KANE,Tornado,0,,0,0,0,0,EF0
2024-01-13,TEXAS,FOARD,Cold/Wind Chill,0,,0,0,0,0,
2024-01-08,OKLAHOMA,BECKHAM,High Wind,50,MG,0,0,0,0,
2024-01-08,OKLAHOMA,HARMON,High Wind,52,MG,0,0,0,0,
2024-01-08,OKLAHOMA,JACKSON,High Wind,50,MG,0,0,0,0,
2024-01-13,LAKE SUPERIOR,EAGLE RIVER TO MANITOU ISLAND MI,Marine High Wind,51,MG,0,0,0,0,
2024-01-13,LAKE SUPERIOR,MANITOU ISLAND TO POINT ISABELLE MI,Marine High Wind,51,MG,0,0,0,0,
2024-01-13,LAKE SUPERIOR,UPPER ENTRANCE OF PORTAGE CANAL TO MANITOU ISLAND MI 5NM OFFSHORE TO US/CANADIAN BORDER,Marine High Wind,51,MG,0,0,0,0,
2024-01-13,LAKE SUPERIOR,HURON ISLANDS TO MARQUETTE MI,Marine High Wind,50,MG,0,0,0,0,
2024-01-13,LAKE SUPERIOR,MARQUETTE TO MUNISING MI,Marine High Wind,50,MG,0,0,0,0,
2024-01-13,LAKE SUPERIOR,MANITOU ISLAND TO MARQUETTE MI BEYOND 5NM FROM SHORE,Marine High Wind,50,MG,0,0,0,0,
2024-01-20,HAWAII,NIIHAU,High Surf,0,,0,0,0,0,
2024-01-15,LOUISIANA,RED RIVER,Cold/Wind Chill,0,,0,0,0,0,
2024-01-15,LOUISIANA,SABINE,Cold/Wind Chill,0,,0,1,0,0,
2024-01-10,VIRGINIA,CHARLOTTE,Flood,0,,0,0,0,0,
2024-01-15,MICHIGAN,GOGEBIC,Cold/Wind Chill,0,,0,0,0,0,
2024-01-25,LOUISIANA,TANGIPAHOA,Thunderstorm Wind,50,EG,0,0,2000,0,
2024-01-25,LOUISIANA,WASHINGTON,Thunderstorm Wind,50,EG,0,0,0,0,
2024-01-25,MISSISSIPPI,PEARL RIVER,Thunderstorm Wind,50,EG,0,0,1000,0,
2024-02-07,COLORADO,CANON CITY VICINITY / EASTERN FREMONT COUNTY,Heavy Snow,0,,0,0,0,0,
2024-02-07,COLORADO,PUEBLO VICINITY / PUEBLO COUNTY BELOW 6300 FT,Heavy Snow,0,,0,0,0,0,
2024-01-13,TEXAS,JONES,Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,TEXAS,FISHER,Cold/Wind Chill,0,,0,0,0,0,
2024-01-19,PENNSYLVANIA,EASTERN MONTGOMERY,Winter Storm,0,,0,0,0,0,
2024-01-19,PENNSYLVANIA,LOWER BUCKS,Winter Storm,0,,0,0,0,0,
2024-01-19,PENNSYLVANIA,UPPER BUCKS,Winter Weather,0,,0,0,0,0,
2024-01-19,PENNSYLVANIA,WESTERN MONTGOMERY,Winter Weather,0,,0,0,0,0,
2024-01-19,MARYLAND,KENT,Winter Storm,0,,0,0,0,0,
2024-01-15,LOUISIANA,NORTHERN ST. TAMMANY PARISH,Winter Weather,0,,0,0,0,0,
2024-01-15,LOUISIANA,SOUTHWESTERN ST. TAMMANY PARISH,Winter Weather,0,,0,0,0,0,
2024-01-18,PENNSYLVANIA,CLARION,Winter Weather,0,,0,0,0,0,
2024-01-18,PENNSYLVANIA,FOREST,Winter Weather,0,,0,0,0,0,
2024-01-08,IOWA,VAN BUREN,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,HENRY,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,DES MOINES,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,JOHNSON,Winter Storm,0,,0,0,0,0,
2024-01-13,MAINE,NORTHERN PENOBSCOT,Winter Weather,0,,0,0,0,0,
2024-01-13,MAINE,SOUTHEAST AROOSTOOK,Winter Weather,0,,0,0,0,0,
2024-01-13,MAINE,CENTRAL PISCATAQUIS,Winter Weather,0,,0,0,0,0,
2024-01-21,ALASKA,GLACIER BAY,Winter Storm,0,,0,0,0,0,
2024-01-21,ALASKA,CAPE FAIRWEATHER TO LISIANSKI STRAIT,Winter Storm,0,,0,0,0,0,
2024-01-15,PENNSYLVANIA,ALLEGHENY,Winter Weather,0,,0,0,0,0,
2024-01-28,ALASKA,ANNETTE ISLAND,High Wind,54,MG,0,0,0,0,
2024-01-21,KANSAS,MONTGOMERY,Winter Weather,0,,0,0,0,0,
2024-01-21,KANSAS,LABETTE,Winter Weather,0,,0,0,0,0,
2024-01-21,KANSAS,NEOSHO,Winter Weather,0,,0,0,0,0,
2024-01-22,KANSAS,COWLEY,Winter Weather,0,,0,0,0,0,
2024-01-21,KANSAS,WOODSON,Winter Weather,0,,0,0,0,0,
2024-01-09,NORTH CAROLINA,ALLEGHANY,Flood,0,,0,0,0,0,
2024-01-09,NORTH CAROLINA,WATAUGA,Flood,0,,0,0,0,0,
2024-01-09,VIRGINIA,GRAYSON,Winter Weather,0,,0,0,0,0,
2024-01-09,NORTH CAROLINA,WATAUGA,Winter Weather,0,,0,0,0,0,
2024-01-09,NORTH CAROLINA,ASHE,Winter Weather,0,,0,0,0,0,
2024-01-09,NORTH CAROLINA,WATAUGA,High Wind,55,EG,0,0,10000,0,
2024-01-10,UTAH,CACHE VALLEY/UTAH PORTION,Winter Weather,0,,0,0,35000,0,
2024-01-13,UTAH,CACHE VALLEY/UTAH PORTION,Heavy Snow,0,,0,0,0,0,
2024-01-14,WEST VIRGINIA,EASTERN PRESTON,Winter Weather,0,,0,0,0,0,
2024-01-14,WEST VIRGINIA,EASTERN TUCKER,Winter Weather,0,,0,0,0,0,
2024-01-18,OHIO,BELMONT,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,WESTERN ALBANY,Winter Storm,0,,0,0,0,0,
2024-01-28,NEW YORK,WESTERN GREENE,Winter Storm,0,,0,0,0,0,
2024-01-28,NEW YORK,SCHOHARIE,Winter Storm,0,,0,0,0,0,
2024-01-28,NEW YORK,NORTHERN WARREN,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,NORTHERN WASHINGTON,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,WESTERN SCHENECTADY,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,WESTERN COLUMBIA,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,EASTERN COLUMBIA,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,WESTERN ULSTER,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,NORTHERN FULTON,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,SOUTHERN WASHINGTON,Winter Weather,0,,0,0,0,0,
2024-01-28,NEW YORK,SOUTHEAST WARREN,Winter Weather,0,,0,0,0,0,
2024-01-04,COLORADO,ELKHEAD AND PARK MOUNTAINS,Winter Weather,0,,0,0,0,0,
2024-01-04,COLORADO,UPPER YAMPA RIVER BASIN,Winter Weather,0,,0,0,0,0,
2024-01-04,COLORADO,NORTHWESTERN SAN JUAN MOUNTAINS,Winter Weather,0,,0,0,0,0,
2024-01-03,COLORADO,SOUTHWESTERN SAN JUAN MOUNTAINS,Winter Weather,0,,0,0,0,0,
2024-01-04,COLORADO,FOUR CORNERS / UPPER DOLORES RIVER BASIN,Winter Weather,0,,0,0,0,0,
2024-01-03,COLORADO,ANIMAS RIVER BASIN,Winter Weather,0,,0,0,0,0,
2024-01-17,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Weather,0,,0,0,0,0,
2024-01-10,COLORADO,UPPER YAMPA RIVER BASIN,Winter Weather,0,,0,0,0,0,
2024-01-10,COLORADO,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS,Winter Weather,0,,0,0,0,0,
2024-01-10,COLORADO,SOUTHWESTERN SAN JUAN MOUNTAINS,Winter Weather,0,,0,0,0,0,
2024-01-10,COLORADO,WEST ELK AND SAWATCH MOUNTAINS,Winter Weather,0,,0,0,0,0,
2024-01-07,COLORADO,FOUR CORNERS / UPPER DOLORES RIVER BASIN,Winter Weather,0,,0,0,0,0,
2024-01-06,COLORADO,UNCOMPAHGRE PLATEAU AND DALLAS DIVIDE,Heavy Snow,0,,0,0,0,0,
2024-01-08,IOWA,TAYLOR,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,RINGGOLD,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,DECATUR,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,HANCOCK,Winter Storm,0,,0,0,0,0,
2024-01-08,IOWA,CERRO GORDO,Winter Storm,0,,0,0,0,0,
2024-01-12,NEBRASKA,DOUGLAS,Extreme Cold/Wind Chill,0,,12,0,0,0,
2024-01-12,NORTH DAKOTA,WILLIAMS,Cold/Wind Chill,0,,0,0,0,0,
2024-01-12,NORTH DAKOTA,MOUNTRAIL,Cold/Wind Chill,0,,0,0,0,0,
2024-01-12,NORTH DAKOTA,MCKENZIE,Cold/Wind Chill,0,,0,0,0,0,
2024-01-12,NORTH DAKOTA,DUNN,Cold/Wind Chill,0,,0,0,0,0,
2024-01-12,NORTH DAKOTA,GOLDEN VALLEY,Cold/Wind Chill,0,,0,0,0,0,
2024-01-19,WEST VIRGINIA,HARRISON,Heavy Snow,0,,0,0,0,0,
2024-01-19,WEST VIRGINIA,JACKSON,Heavy Snow,0,,0,0,0,0,
2024-01-19,OHIO,GALLIA,Winter Weather,0,,0,0,0,0,
2024-01-19,OHIO,JACKSON,Winter Weather,0,,0,0,0,0,
2024-01-19,OHIO,LAWRENCE,Winter Weather,0,,0,0,0,0,
2024-01-19,OHIO,MEIGS,Winter Weather,0,,0,0,0,0,
2024-01-12,SOUTH DAKOTA,POTTER,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-01-13,SOUTH DAKOTA,DEUEL,Extreme Cold/Wind Chill,0,,0,0,0,0,
2024-08-29,GULF OF MEXICO,APALACHEE BAY OR COASTAL WATERS FROM KEATON BEACH TO OCHLOCKONEE RIVER FL OUT TO 20 NM,Marine Thunderstorm Wind,36,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,35,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,COASTAL WATERS FROM OKLALOOSA-WALTON COUNTY LINE TO MEXICO BEACH OUT 20 NM,Marine Thunderstorm Wind,36,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,APALACHEE BAY OR COASTAL WATERS FROM KEATON BEACH TO OCHLOCKONEE RIVER FL OUT TO 20 NM,Marine Thunderstorm Wind,39,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,35,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,36,MG,0,0,0,0,
2024-08-29,GULF OF MEXICO,COASTAL WATERS FROM OCHLOCKONEE RIVER TO APALACHICOLA FL OUT TO 20 NM,Marine Thunderstorm Wind,43,MG,0,0,0,0,
2024-08-03,CALIFORNIA,EL DORADO,Heavy Rain,0,,0,0,0,0,
2024-08-03,CALIFORNIA,SIERRA,Heavy Rain,0,,0,0,0,0,
2024-08-02,NEVADA,GREATER RENO/CARSON CITY/MINDEN AREA,High Wind,56,MG,0,0,0,0,
2024-08-03,NEVADA,WESTERN NEVADA BASIN AND RANGE,High Wind,53,MG,0,0,0,0,
2024-08-03,KANSAS,MORTON,Hail,1,,0,0,0,0,
2024-08-07,KANSAS,SCOTT,Thunderstorm Wind,57,MG,0,0,0,0,
2024-08-07,KANSAS,FINNEY,Thunderstorm Wind,54,MG,0,0,0,0,
2024-08-14,KANSAS,CLARK,Thunderstorm Wind,61,EG,0,0,0,0,
2024-08-16,KANSAS,SCOTT,Hail,1.75,,0,0,0,0,
2024-08-16,KANSAS,SCOTT,Hail,1.5,,0,0,0,0,
2024-01-01,WISCONSIN,JUNEAU,Drought,0,,0,0,0,0,
2024-08-16,KANSAS,LANE,Hail,1.75,,0,0,0,0,
2024-08-16,KANSAS,PAWNEE,Hail,1,,0,0,0,0,
2024-08-16,KANSAS,PAWNEE,Hail,1.75,,0,0,0,0,
2024-08-16,KANSAS,PAWNEE,Hail,1.5,,0,0,0,0,
2024-08-16,KANSAS,PAWNEE,Thunderstorm Wind,63,MG,0,0,0,0,
2024-08-16,KANSAS,PAWNEE,Hail,2.75,,0,0,0,0,
2024-08-16,KANSAS,STAFFORD,Hail,1,,0,0,0,0,
2024-08-16,KANSAS,STAFFORD,Hail,1,,0,0,0,0,
2024-08-05,LAKE MICHIGAN,BURNS HARBOR TO MICHIGAN CITY IN,Marine Thunderstorm Wind,45,MG,0,0,0,0,
2024-08-06,ILLINOIS,MCHENRY,Thunderstorm Wind,52,EG,0,0,0,0,
2024-08-16,LAKE MICHIGAN,BURNS HARBOR TO MICHIGAN CITY IN,Marine Thunderstorm Wind,35,MG,0,0,0,0,
2024-08-06,ILLINOIS,MCHENRY,Thunderstorm Wind,52,EG,0,0,0,0,
2024-08-16,ILLINOIS,KANE,Thunderstorm Wind,60,MG,0,0,0,0,
2024-08-16,ILLINOIS,WILL,Thunderstorm Wind,52,EG,0,0,0,0,
2024-08-16,ILLINOIS,COOK,Thunderstorm Wind,54,MG,0,0,0,0,
2024-08-16,INDIANA,JASPER,Thunderstorm Wind,52,EG,0,0,0,0,
2024-08-27,LAKE MICHIGAN,WINTHROP HARBOR TO WILMETTE HARBOR IL,Marine Thunderstorm Wind,39,MG,0,0,0,0,
2024-08-27,LAKE MICHIGAN,BURNS HARBOR TO MICHIGAN CITY IN,Marine Thunderstorm Wind,44,MG,0,0,0,0,
2024-08-27,LAKE MICHIGAN,BURNS HARBOR TO MICHIGAN CITY IN,Marine Thunderstorm Wind,57,MG,0,0,0,0,
2024-08-30,INDIANA,JASPER,Thunderstorm Wind,52,EG,0,0,0,0,
2024-08-30,ILLINOIS,IROQUOIS,Thunderstorm Wind,52,EG,0,0,0,0,
2024-08-06,INDIANA,PORTER,Rip Current,0,,3,1,0,0,
2024-08-07,ILLINOIS,COOK,Rip Current,0,,1,1,0,0,
